name,HAPPY,ANGRY,SURPRISED,FEAR,CALM,CONFUSED,SAD,DISGUSTED
אבי דיכטר,12.768242867973944,4.241405038589922,9.119878113269806,6.447035948435466,66.61127062079807,11.259958282268295,2.3504423995812735,0.5035971292139342
אבי מעוז,44.697775260121986,9.49980695376342,7.4876721555536445,13.009505965492941,28.997960824180733,3.8370739678767594,2.8603290861303154,1.050837384875525
אביגדור ליברמן,19.355492113158107,0.6343229276660297,6.422999586377825,5.976446628570557,73.23341807031206,1.9761622343877596,5.799882931368692,0.5011586318723857
אביר קארה,12.244744278135753,5.2883569200833636,10.98758956364223,7.242220674242292,50.609488089879356,18.473308900992077,3.9489952382587252,3.2277368300017857
אבתיסאם מראענה,33.23326435188452,3.024828148384889,9.130415825616746,18.429447355724516,27.866473046087084,10.976722785582146,12.13254055522737,1.260768710857346
אוסאמה סעדי,16.191788730595043,7.392457343199673,10.769614696502686,6.216921497793758,47.328075614045645,20.238518976989916,2.8977259046891155,1.852080977138351
אופיר אקוניס,18.822389540883403,2.56093983973066,13.589808166027069,6.531629145145416,59.47597360610962,5.752955051759879,2.450913449128469,2.770287986844778
אופיר כץ,3.3792302961582723,8.08939938959868,8.1502365236697,6.459456215734067,70.79085269440775,7.010882919249327,7.3731556768002715,0.6073995689335077
אופיר סופר,27.630618073619328,9.68815314827057,8.764840437815739,7.004894036513108,28.28212233639967,16.27477096594297,9.531798408581661,6.348429295735864
אורי מקלב,13.672461832619526,0.5049554522741925,6.888140916824341,6.03690125725486,70.89902774380012,3.787034755742008,14.983829617500305,0.4329180615869435
אוריאל בוסו,34.299118541077604,2.0418337546288967,7.373580190870497,8.637833939658272,48.6622030130691,4.147776828043991,5.664475348260668,1.9888872326248221
אורית סטרוק,28.465667824660027,2.116336140604246,12.59495598929269,8.742381300245013,38.8336259067236,10.737033030639092,8.719631172361828,4.7031176789175895
אורית פרקש-הכהן,35.25447152439682,0.9367573791671366,6.833227702549526,6.116502330416725,42.33187237750029,18.111671024489972,2.757710956391834,0.4068128443101332
אורלי לוי-אבקסיס,44.14153572722621,1.0933908653324065,10.166519393091617,6.8588444253672725,33.81404980304448,10.830080505946409,3.3975257147913394,1.9514353260721848
אורנה ברביבאי,25.042594356240617,16.65038724101725,7.074099858601888,6.232766991569882,11.4004424285321,37.49155042001179,11.401340212140765,1.2036188791195552
אחמד טיבי,28.718610069350056,13.311919897794724,17.320431170256242,6.228754085043202,43.280587038268216,1.5925591594499091,2.395408526710842,2.083252352864846
איילת שקד,41.6789186009647,0.7451204581088141,6.464361818213212,5.976094471780877,54.76851706677362,0.880480667282092,2.658592525281404,0.19816022748617748
איימן עודה,2.450513055717403,35.86598504470153,6.622834769162265,6.175249880010432,27.86813049018383,19.57022830031135,9.2289996472272,7.884861624376341
אימאן ח'טיב-יאסין,21.185408444842324,1.4077662573448226,7.357221404711406,11.128002981344858,40.2891391410958,12.739761762165775,19.02563088138898,1.0860725934423197
איתמר בן גביר,35.586605958640575,1.5990313168453134,14.981472886126975,13.710823432258938,35.60168057291404,7.167579598724842,3.6515310847240947,1.868663581493108
איתן גינזבורג,63.247750144165295,1.3598236854259784,12.376872356121357,7.052865541898287,18.43252646235319,9.075948238086243,2.3578117077167215,0.8716252156748221
אלון טל,14.246495047245514,5.907820129597729,20.919821739196777,9.272262139753861,49.41086577420885,9.932637920433825,3.0730725526809692,1.455040887167508
אלון שוסטר,50.652255064994094,1.350456878170371,13.879427409172058,6.367715978622437,36.2126327813603,2.3020839605480434,2.4995025873184202,1.2666267219930887
אלי אבידר,20.3019196851687,8.208347974853082,12.216568209908225,6.635270530527288,40.004199185154654,14.94268609718843,4.267217776992104,5.348574371500448
אליהו ברוכי,38.39399323736628,4.37776171705789,7.557149410247803,6.179233047697279,28.693031480639345,9.628910956697332,18.57456937101152,2.25851089010636
אלינה ברדץ'-יאלוב,40.68996903505176,1.0377373251132667,8.332278108596801,6.1792745113372805,51.61109538697637,1.827950164489448,2.532750630378723,0.6924676870461554
אלכס קושניר,28.69845923093649,5.309769768840992,10.831922476108257,6.899793973335853,30.908986548176753,20.5943374393078,9.831048846244812,1.89988900663761
אלעזר שטרן,23.666676743294705,2.7625173015350644,13.238061796535145,6.320215225219727,32.28520195702599,24.91676079685038,10.46020176193931,0.9097067855975844
אמילי מואטי,39.6415406504403,3.3172870315611362,8.391078057496443,10.420341242914615,38.505805932592764,3.2162103005077527,10.333898544311523,1.243713644211707
אמיר אוחנה,16.306318628555164,17.97380041629076,9.359083008766174,6.339004063606263,29.528622315078973,27.194141671061516,4.075177013874054,0.9846696195192635
אפרת רייטן,40.294173353097655,1.6128484371372245,10.988858049566096,6.1059440699490635,45.17932225628333,3.189360085366802,3.1819548065012153,2.0016404841603204
אריה דרעי,23.457013679295777,0.439589017778635,6.356902236938477,6.129114017486573,69.14741477310658,5.1659187545254825,2.381007022857666,0.35038220454007385
אתי עטייה,33.591438581400055,5.2425550090916015,7.291424162247601,13.438862295711742,33.14904922597549,10.148884528480908,5.382073500577142,2.413267962196294
בועז טופורובסקי,20.685640431940556,2.501862662786152,7.671440005302429,11.235894083976746,55.066295148758215,11.478180622216314,6.295500111579895,0.5031909801415168
בני גנץ,2.9472267174720765,21.892079142034053,10.339628009796142,6.791962203979492,41.27612338900566,16.208520055264234,11.343761463165283,4.013054683767259
בנימין נתניהו,37.64651691744273,4.497138545128771,7.713092912327159,6.093285495584661,32.742711135905914,15.317540706473995,2.560321807861328,6.246143831024793
בצלאל סמוטריץ',22.453939108008687,2.2037343422628264,17.73792531273582,6.533745353872126,51.497179289263755,8.313525502993302,2.7047191099687056,2.040530279617418
